epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.459,1.23384,4.1292,1.63491,0.00444,0.76042,0.08581,0.06432,0.9196,4.5352,1.52162,5.625e-05,5.625e-05,5.625e-05
2,354.847,1.11537,3.83412,1.56057,0.00492,0.86458,0.36535,0.26409,0.83718,4.44928,1.42013,0.000116399,0.000116399,0.000116399
3,508.752,1.11705,3.35479,1.52346,0.00535,0.90208,0.48995,0.36775,0.85686,4.25278,1.37072,0.000174073,0.000174073,0.000174073
4,673.009,1.09473,2.77654,1.53346,0.93159,0.26331,0.57607,0.46663,0.9527,3.77645,1.62684,0.000229271,0.000229271,0.000229271
5,815.129,1.06462,2.51275,1.50259,0.96712,0.2412,0.58199,0.47987,0.99162,3.72773,1.5966,0.000281995,0.000281995,0.000281995
6,956.086,1.11825,2.28724,1.55946,0.92375,0.33206,0.5801,0.48885,1.06045,3.68292,1.66001,0.000332244,0.000332244,0.000332244
7,1096.44,1.02146,1.96127,1.45991,0.80604,0.6332,0.69171,0.50044,1.11059,3.41872,1.71316,0.000380018,0.000380018,0.000380018
8,1232.69,1.10486,1.86923,1.54795,0.82977,0.54167,0.74672,0.55397,1.18001,3.35465,1.83053,0.000425316,0.000425316,0.000425316
9,1369.56,1.12902,1.81788,1.55497,0.72567,0.625,0.7638,0.53247,1.25791,3.35377,1.93731,0.00046814,0.00046814,0.00046814
10,1513.64,1.04107,1.6213,1.47231,0.73696,0.63665,0.79812,0.57088,1.08431,2.91678,1.76973,0.000508489,0.000508489,0.000508489
11,1652.52,0.99085,1.62849,1.44031,0.89496,0.66667,0.8542,0.65169,1.07514,2.7787,1.70531,0.00050125,0.00050125,0.00050125
12,1787.76,1.10169,1.61886,1.49964,0.64354,0.79167,0.85626,0.6128,1.27741,2.64665,1.95156,0.000488875,0.000488875,0.000488875
13,1922.47,0.99687,1.64551,1.41971,0.75817,0.75,0.86406,0.63882,1.23049,2.701,1.86074,0.0004765,0.0004765,0.0004765
14,2059.13,1.07691,1.57827,1.46979,0.81045,0.66491,0.87992,0.68221,1.15569,2.55262,1.78055,0.000464125,0.000464125,0.000464125
15,2191.48,0.98975,1.46004,1.38885,0.8464,0.73035,0.83384,0.64013,1.19507,2.53767,1.77269,0.00045175,0.00045175,0.00045175
16,2325.98,0.99926,1.45829,1.42013,0.8718,0.75,0.83163,0.63898,1.20288,2.4592,1.80739,0.000439375,0.000439375,0.000439375
17,2458.51,0.90495,1.45678,1.34292,0.91157,0.75,0.8408,0.65601,1.19891,2.12711,1.80529,0.000427,0.000427,0.000427
18,2591.82,0.9703,1.42892,1.38241,0.81528,0.73125,0.83671,0.68716,1.16582,2.03431,1.88574,0.000414625,0.000414625,0.000414625
19,2723.69,0.96971,1.47298,1.39,0.91675,0.63357,0.86432,0.65582,1.08003,2.06926,1.81036,0.00040225,0.00040225,0.00040225
20,2855.28,0.8836,1.34026,1.29122,0.96595,0.68655,0.83718,0.68245,1.074,1.957,1.73797,0.000389875,0.000389875,0.000389875
21,2988.42,0.90707,1.36469,1.3416,0.72667,0.78442,0.83243,0.68435,1.11755,2.02521,1.75429,0.0003775,0.0003775,0.0003775
